Participant_ID,cue,age,gender,hispanic,race,education,income,location,shoppingfreq,perceived_decision_pressure,perceived_authenticity_of_product,perceived_cue_influence,decision_confidence,perceived_manipulativeness,Participant_ID,Condition,Context,Product,wtp,purchase_intent_score,value_score,trust_score
13398503.0,Popularity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,1,5,5,7,6,13398503.0,popularity,utilitarian,chocolate,10.0,2.0,2.0,5.0
13398503.0,Popularity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,1,5,5,7,6,13398503.0,popularity,utilitarian,headphones,20.0,1.0,2.0,5.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,hedonic,chocolate,5.0,5.0,5.0,5.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,hedonic,headphones,150.0,3.0,3.0,3.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,utilitarian,chocolate,3.0,2.0,2.0,2.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,utilitarian,headphones,80.0,5.0,3.0,3.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,hedonic,chocolate,30.0,5.0,5.0,4.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,hedonic,headphones,100.0,3.0,4.0,4.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,utilitarian,chocolate,20.0,5.0,4.0,4.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,utilitarian,headphones,60.0,3.0,3.0,2.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,hedonic,chocolate,20.0,2.0,3.0,4.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,hedonic,headphones,50.0,5.0,5.0,4.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,utilitarian,chocolate,25.0,2.0,3.0,5.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,utilitarian,headphones,45.0,3.0,2.0,2.0
13398627.0,Popularity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,1,2,5,5,4,13398627.0,popularity,hedonic,chocolate,20.0,2.0,3.0,2.0
13398627.0,Popularity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,1,2,5,5,4,13398627.0,popularity,hedonic,headphones,120.0,4.0,4.0,4.0
